Wavelength (nm);Frequency (PHz);Spectrum (arb. u.)
1051.67098;0.28506;42.8539
1052.47806;0.28484;34.4737
1053.28505;0.28463;24.4949
1054.09196;0.28441;16.136
1054.89877;0.28419;11.1154
1055.7055;0.28397;10.5479
1056.51214;0.28376;14.8757
1057.31869;0.28354;23.2571
1058.12516;0.28332;34.1398
1058.93153;0.28311;45.4198
1059.73782;0.28289;55.2685
1060.54402;0.28268;61.8725
1061.35013;0.28246;64.7618
1062.15615;0.28225;63.0465
1062.96208;0.28203;57.5717
1063.76793;0.28182;48.9027
1064.57369;0.28161;38.6044
1065.37936;0.2814;28.1342
1066.18494;0.28118;18.7955
1066.99043;0.28097;12.1051
1067.79584;0.28076;8.87267
1068.60115;0.28055;9.37123
1069.40638;0.28034;13.8024
1070.21152;0.28012;21.8715
1071.01658;0.27991;32.4525
1071.82154;0.2797;44.9853
1072.62642;0.27949;58.4609
1073.4312;0.27928;71.9266
1074.2359;0.27908;84.2833
1075.04052;0.27887;95.6213
1075.84504;0.27866;104.756
1076.64947;0.27845;111.391
1077.45382;0.27824;115.642
1078.25808;0.27803;117.385
1079.06225;0.27783;116.777
1079.86633;0.27762;113.977
1080.67033;0.27741;109.489
1081.47423;0.27721;103.588
1082.27805;0.277;96.468
1083.08178;0.2768;88.8423
1083.88542;0.27659;80.5911
1084.68898;0.27639;72.4204
1085.49244;0.27618;64.5443
1086.29582;0.27598;56.8235
1087.09911;0.27577;49.4801
1087.90231;0.27557;42.725
1088.70542;0.27537;36.8197
1089.50844;0.27516;31.1632
1090.31138;0.27496;26.2696
1091.11423;0.27476;21.9166
1091.91699;0.27456;18.3071
1092.71966;0.27435;15.0537
1093.52224;0.27415;12.3762
1094.32474;0.27395;10.0499
1095.12715;0.27375;8.08752
1095.92947;0.27355;6.53629
1096.7317;0.27335;5.36125
1097.53384;0.27315;4.24541
1098.33589;0.27295;3.41993
1099.13786;0.27275;2.65989
1099.93974;0.27255;2.21148
1100.74153;0.27235;1.74809
1101.54323;0.27216;1.40294
1102.34484;0.27196;1.14429
1103.14637;0.27176;0.97501
1103.9478;0.27156;0.77336
1104.74915;0.27137;0.69716
1105.55041;0.27117;0.59833
1106.35159;0.27097;0.56035
1107.15267;0.27078;0.53136
1107.95367;0.27058;0.65916
1108.75458;0.27039;0.59792
1109.5554;0.27019;0.54695
1110.35613;0.27;0.50417
1111.15677;0.2698;0.47815
1111.95733;0.26961;0.42068
1112.75779;0.26941;0.42057
1113.55817;0.26922;0.41911
1114.35846;0.26903;0.44359
1115.15867;0.26883;0.46906
1115.95878;0.26864;0.51155
1116.75881;0.26845;0.43065
1117.55874;0.26826;0.36396
1118.35859;0.26806;0.28608
1119.15836;0.26787;0.43176
1119.95803;0.26768;0.31937
1120.75762;0.26749;0.31121
1121.55711;0.2673;0.40998
1122.35652;0.26711;0.44962
1123.15584;0.26692;0.41558
1123.95507;0.26673;0.46598
1124.75422;0.26654;0.39952
1125.55328;0.26635;0.37291
1126.35224;0.26616;0.42603
1127.15112;0.26597;0.36075
1127.94992;0.26579;0.48137
1128.74862;0.2656;0.334
1129.54723;0.26541;0.3454
1130.34576;0.26522;0.31985
1131.1442;0.26503;0.35714
1131.94255;0.26485;0.35817
1132.74081;0.26466;0.43116
1133.53899;0.26447;0.42592
1134.33708;0.26429;0.44902
1135.13507;0.2641;0.3569
1135.93298;0.26392;0.34939
1136.73081;0.26373;0.44555
1137.52854;0.26355;0.44904
1138.32618;0.26336;0.4801
1139.12374;0.26318;0.41169
1139.92121;0.26299;0.43488
1140.71859;0.26281;0.36254
1141.51588;0.26263;0.33377
1142.31309;0.26244;0.38444
1143.11021;0.26226;0.35983
1143.90723;0.26208;0.39109
1144.70417;0.2619;0.37545
1145.50103;0.26171;0.39074
1146.29779;0.26153;0.35073
1147.09447;0.26135;0.3254
1147.89105;0.26117;0.40421
1148.68755;0.26099;0.41064
1149.48396;0.26081;0.39731
1150.28029;0.26063;0.46227
1151.07652;0.26045;0.41142
1151.87267;0.26027;0.39996
1152.66872;0.26009;0.35284
1153.46469;0.25991;0.44345
1154.26058;0.25973;0.42474
1155.05637;0.25955;0.3412
1155.85208;0.25937;0.39106
1156.64769;0.25919;0.35718
1157.44322;0.25901;0.37618
1158.23866;0.25883;0.34395
1159.03402;0.25866;0.40041
1159.82928;0.25848;0.41006
1160.62446;0.2583;0.37485
1161.41955;0.25813;0.43889
1162.21455;0.25795;0.39482
1163.00946;0.25777;0.40009
1163.80428;0.2576;0.43764
1164.59902;0.25742;0.38348
1165.39366;0.25725;0.4047
1166.18822;0.25707;0.4325
1166.98269;0.2569;0.4215
1167.77708;0.25672;0.44864
1168.57137;0.25655;0.39789
1169.36558;0.25637;0.40152
1170.1597;0.2562;0.51424
1170.95373;0.25602;0.42112
1171.74767;0.25585;0.35615
1172.54152;0.25568;0.37844
1173.33529;0.2555;0.42592
1174.12897;0.25533;0.47237
1174.92256;0.25516;0.43407
1175.71606;0.25499;0.43672
1176.50947;0.25482;0.39058
1177.30279;0.25464;0.35495
1178.09603;0.25447;0.37742
1178.88918;0.2543;0.40184
1179.68224;0.25413;0.41464
1180.47521;0.25396;0.40899
1181.2681;0.25379;0.47658
1182.06089;0.25362;0.42413
1182.8536;0.25345;0.52992
1183.64622;0.25328;0.45665
1184.43875;0.25311;0.48484
1185.23119;0.25294;0.39321
1186.02355;0.25277;0.43541
1186.81581;0.2526;0.42584
1187.60799;0.25243;0.46745
1188.40008;0.25227;0.46779
1189.19208;0.2521;0.47874
1189.984;0.25193;0.43601
1190.77582;0.25176;0.41825
1191.56756;0.2516;0.47692
1192.35921;0.25143;0.41561
1193.15077;0.25126;0.48403
1193.94224;0.25109;0.52475
1194.73363;0.25093;0.43237
1195.52493;0.25076;0.45622
1196.31613;0.2506;0.44376
1197.10725;0.25043;0.48205
1197.89829;0.25027;0.39934
1198.68923;0.2501;0.39478
1199.48009;0.24994;0.47709
1200.27085;0.24977;0.49323
1201.06153;0.24961;0.49015
1201.85212;0.24944;0.41911
1202.64263;0.24928;0.43073
1203.43304;0.24911;0.42589
1204.22337;0.24895;0.44442
1205.01361;0.24879;0.49254
1205.80376;0.24862;0.41842
1206.59382;0.24846;0.46135
1207.38379;0.2483;0.46863
1208.17368;0.24814;0.41104
1208.96348;0.24797;0.40494
1209.75319;0.24781;0.56477
1210.54281;0.24765;0.49922
1211.33234;0.24749;0.43046
1212.12179;0.24733;0.42286
1212.91114;0.24717;0.3841
1213.70041;0.24701;0.39665
1214.48959;0.24685;0.44071
1215.27868;0.24669;0.37255
